,지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
0,서울특별시,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),SK에너지,02-802-6749,Y,1923,1803,1806,1527
1,서울특별시,HD현대오일뱅크㈜직영 남서울셀프주유소,서울 금천구 독산로 257 (독산동),HD현대오일뱅크,02-000-0000,Y,1979,1831,1799,-
2,서울특별시,구광주유소,서울 금천구 서부샛길 674 (가산동),S-OIL,02-868-6889,N,-,1835,1855,1400
3,서울특별시,㈜씨더블유이엔지,서울 금천구 남부순환로 1410 (독산동),HD현대오일뱅크,02-864-5051,Y,-,1894,1924,-
4,서울특별시,(주)백운주유소,서울 금천구 시흥대로 282,알뜰주유소,02-894-8521,Y,-,1894,1924,1600
5,서울특별시,㈜씨더블유 이엔지 금천지점,서울 금천구 독산로 147,HD현대오일뱅크,02-803-5051,Y,-,1894,1924,-
6,서울특별시,동일석유㈜이가주유소,서울 금천구 시흥대로 441,SK에너지,02-861-2241,Y,2110,1917,1947,1700
7,서울특별시,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),S-OIL,02-807-3161,Y,-,1918,1947,-
8,서울특별시,대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),GS칼텍스,02-805-7888,Y,2070,1920,1990,-
9,서울특별시,(주)화동유업 화동주유소,서울 금천구 시흥대로 484,SK에너지,02-856-0283,Y,-,1946,1998,-
0,서울특별시,SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),SK에너지,02-930-5151,N,-,1769,1699,-
1,서울특별시,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),GS칼텍스,02-973-5172,Y,2137,1924,1985,-
2,서울특별시,월계주유소,서울 노원구 월계로 252,GS칼텍스,02-917-7650,Y,2199,1929,1989,-
3,서울특별시,서울동부고속주유소 ㈜아이에스피에너지,서울 노원구 공릉로 294,SK에너지,02-974-8818,Y,2109,1929,1979,-
4,서울특별시,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),S-OIL,02-976-5189,Y,2087,1935,1985,-
5,서울특별시,(주)정건에너지직영,서울 노원구 노원로17길 29 (하계동),HD현대오일뱅크,02-975-1386,Y,2137,1935,1985,-
6,서울특별시,(주)소모 수락산셀프주유소,서울 노원구 동일로 1772,GS칼텍스,02-3392-5656,Y,-,1945,1995,1800
7,서울특별시,삼육주유소,서울 노원구 화랑로 822 (공릉동),SK에너지,02-949-3677,Y,2086,1948,1978,1600
8,서울특별시,구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),S-OIL,02-932-6850,Y,-,1950,1985,-
9,서울특별시,한신주유소,서울 노원구 동일로 1089 (공릉동),SK에너지,02-974-5151,Y,2135,1965,1985,1800
10,서울특별시,광운대역주유소,서울특별시 노원구  광운로 95 (월계1동),GS칼텍스,02-919-8141,Y,2158,1965,1985,-
11,서울특별시,상계동주유소,서울 노원구 노원로26길 191 (상계동),HD현대오일뱅크,02-936-5035,N,-,1990,2040,2000
12,서울특별시,화랑대주유소,서울 노원구 화랑로 483,HD현대오일뱅크,02-977-9697,Y,2370,1995,1995,1600
13,서울특별시,신성주유소,서울 노원구 월계로 328 (월계동),S-OIL,02-916-4334,Y,-,1995,1985,-
0,서울특별시,HD현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,HD현대오일뱅크,02-956-5152,N,2167,1789,1784,1850
1,서울특별시,도봉제일주유소(주)송만에너지,서울 도봉구 도봉로 783 (도봉동),HD현대오일뱅크,02-955-5185,N,-,1899,1930,1850
2,서울특별시,이케이에너지 주식회사,서울 도봉구 도봉로 941 (도봉동),HD현대오일뱅크,02-3494-3641,Y,-,1899,1860,-
3,서울특별시,요한주유소,서울 도봉구 마들로 776,HD현대오일뱅크,02-955-8669,Y,-,1899,1920,-
4,서울특별시,(주)헨지스에너지 구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),S-OIL,02-3491-3454,Y,2099,1899,1860,-
5,서울특별시,(주)자연에너지 햇살주유소,서울 도봉구 방학로 142 (방학동),HD현대오일뱅크,02-954-4555,Y,2026,1899,1860,-
6,서울특별시,극동유화(주) 대안주유소,서울 도봉구 마들로 574 (창동),S-OIL,02-996-6640,Y,-,1925,1965,-
